,Est,Edad,Impuso,Extro,Cant_arg,connectors_total,politeness_total,rud_total,powerless_total,Impuso_n,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,pred_k
29,30,20,1,0.14735197344095932,-0.38416798649684014,-1.0333889711856346,-1.0225125893876648,-0.407384863446565,-0.18139703503300725,2,-1.39976094325355,0.202737844272434,0.0215376689145622,-0.388447924199547,0.237868314322277,0.5227039226182,0
30,31,24,0,0.5411836115467958,-0.5359763037415592,0.7449012167296449,0.46992067937816073,0.6985352644693176,0.09636717486128517,1,0.729969287403188,0.639297898917862,0.202106340295546,0.141392004572657,-0.897838579775835,-0.211144415219698,1
31,32,20,0,-1.4279745789823868,-0.6877846209862783,-1.0032484595260536,-1.2357173420684968,-0.849752914612918,-1.2924538746101768,1,-2.17312537503152,-1.45772891642973,-0.210081386342098,-0.703441660239942,-0.22127309154989,-0.0529840476890578,0
32,33,19,0,1.328846887758469,-0.8395929382309975,0.05166944855928176,-0.5961030840260003,0.3667592260945528,-1.2924538746101768,1,-0.786467135904835,0.748385635077292,1.54998815264793,-0.302744543347931,-0.980072359508881,-0.0209127534100369,0
33,34,19,1,1.328846887758469,-0.5359763037415592,-0.24973566803652833,0.46992067937816073,-0.5732728826339474,0.37413138475557756,2,-0.354136787083152,1.28675167059746,0.250639397441251,0.964510392476141,0.114032934087284,-0.132918954801749,1
34,35,19,0,-0.2464796646648772,-0.5359763037415592,-0.7319838545898244,0.6831254320589929,-0.5732728826339474,-0.45916124492729965,1,-0.771929464787541,-0.45030851617627,-0.0874780496557512,1.01333374527453,-0.23793442116064,0.0138222202841042,0
35,36,20,1,1.4601241004604144,-0.23235966925212106,-0.9128269245473105,-0.5961030840260003,-0.5732728826339474,-1.0146896647158845,2,-1.41316852662962,0.699460490211181,1.4332094390298,0.220639272737512,0.243587213348848,0.290493066906012,0
36,37,20,0,-0.2464796646648772,-0.38416798649684014,-0.5511407846323384,-0.5961030840260003,-0.407384863446565,-0.45916124492729965,1,-1.05490804540138,-0.265580667367886,0.0165733478471691,-0.232833167972141,-0.04108435408992,0.0684531574979361,0
37,38,24,0,1.1975696750565235,-0.8395929382309975,-1.0936699945047965,-1.0225125893876648,-1.0709369401960944,-0.18139703503300725,1,-1.97150810759728,1.15521853604519,0.422425395798533,0.0720978494551927,0.360879830659761,0.159049186232608,0
38,39,24,1,0.6724608242487413,-0.8395929382309975,-0.4908597613131764,-0.3828983313451681,-0.9603449274045063,0.09636717486128517,2,-1.25584387768676,0.843284302383903,-0.0570208662859114,0.320657577193814,0.116477056988145,-0.26136466077776,0
39,40,25,0,0.9350152496526324,-0.6877846209862783,-0.9128269245473105,-0.8093078367068325,-0.9603449274045063,-0.45916124492729965,1,-1.74627479437537,0.746462985685069,0.538573526416618,0.105717916465342,0.242248229485521,0.044946932492605,0
40,41,19,0,-0.11520245196293169,-0.8395929382309975,-0.6717028312706624,-1.0225125893876648,-0.9603449274045063,-0.45916124492729965,1,-1.78403225539641,0.0346363370649829,-0.10223133862783,-0.328617296184716,0.0067555404619665,-0.213398802426948,0
